fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-10-23 00:28:09,Sin sesión,,,,13,AGUA-02,,0.0,20.25,12.2,0.0,0.0,7.0
2025-10-23 01:29:07,Sin sesión,,,,13,AGUA-02,,0.0,18.75,12.46,0.0,0.0,8.0
2025-10-23 03:32:09,Sin sesión,,,,13,AGUA-02,,0.0,17.0,12.38,0.0,0.0,7.0
2025-10-23 04:33:10,Sin sesión,,,,13,AGUA-02,,0.0,16.75,12.39,0.0,0.0,8.0
2025-10-23 05:34:11,Sin sesión,,,,13,AGUA-02,,0.0,16.25,12.17,0.0,0.0,7.0
2025-10-23 06:35:15,Sin sesión,,,,13,AGUA-02,,0.0,16.0,12.18,0.0,0.0,8.0
2025-10-23 07:36:22,Sin sesión,,,,13,AGUA-02,,0.0,16.0,12.29,0.0,0.0,7.0
2025-10-23 08:37:31,Sin sesión,,,,13,AGUA-02,,0.0,17.5,12.18,0.0,0.0,8.0
2025-10-23 09:38:38,Sin sesión,,,,13,AGUA-02,,0.0,19.0,12.28,0.0,0.0,7.0
2025-10-23 10:39:52,Sin sesión,,,,13,AGUA-02,,0.0,20.5,12.23,0.0,0.0,8.0
2025-10-23 11:41:03,Sin sesión,,,,13,AGUA-02,,0.0,22.25,12.56,0.0,0.0,7.0
2025-10-23 12:42:11,Sin sesión,,,,13,AGUA-02,,0.0,24.0,12.23,0.0,0.0,7.0
2025-10-23 13:43:19,Sin sesión,,,,13,AGUA-02,,0.0,26.25,12.41,0.0,0.0,7.0
2025-10-23 14:44:24,Sin sesión,,,,13,AGUA-02,,0.0,27.5,12.46,0.0,0.0,8.0
2025-10-23 15:45:22,Sin sesión,,,,13,AGUA-02,,0.0,28.25,12.31,0.0,0.0,8.0
2025-10-23 16:46:19,Sin sesión,,,,13,AGUA-02,,0.0,26.75,12.42,0.0,0.0,8.0
2025-10-23 17:47:09,Sin sesión,,,,13,AGUA-02,,0.0,25.75,12.38,0.0,0.0,7.0
2025-10-23 18:48:02,Sin sesión,,,,13,AGUA-02,,0.0,24.5,12.32,0.0,0.0,10.0
2025-10-23 19:48:51,Sin sesión,,,,13,AGUA-02,,0.0,23.0,12.49,0.0,0.0,7.0
2025-10-23 20:49:43,Sin sesión,,,,13,AGUA-02,,0.0,21.5,12.49,0.0,0.0,8.0
2025-10-23 21:50:33,Sin sesión,,,,13,AGUA-02,,0.0,20.5,12.26,0.0,0.0,8.0
