fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,A01NYUB [Distancia (m)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],LIQ-136 [Profundidad (m)],SHT40 [Grados celcius (°C)],SHT40 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-10-23 09:48:15,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,17.0,6.93,0.77,14.04,69.05,22.0
2025-10-23 10:18:12,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,19.5,6.91,0.77,15.51,64.9,22.0
2025-10-23 10:48:11,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,21.75,6.92,0.77,17.15,58.62,22.0
2025-10-23 11:18:08,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,24.0,6.94,0.77,17.58,61.02,22.0
2025-10-23 11:48:02,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,25.0,6.94,0.77,18.72,57.0,22.0
2025-10-23 12:17:57,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,26.25,6.95,0.77,19.35,54.38,22.0
2025-10-23 12:47:51,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,26.5,6.95,0.77,20.12,54.86,22.0
2025-10-23 13:17:45,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,26.25,6.95,0.77,20.09,51.87,22.0
2025-10-23 13:47:37,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,26.5,6.95,0.77,20.64,53.49,22.0
2025-10-23 14:17:30,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,26.75,6.96,0.77,21.2,51.9,22.0
2025-10-23 14:47:24,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",1.14,27.0,6.97,0.77,21.3,53.22,22.0
2025-10-23 15:17:15,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,26.5,6.97,0.77,20.92,54.5,22.0
2025-10-23 15:47:06,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,25.5,6.96,0.77,20.62,54.73,22.0
2025-10-23 16:16:57,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",1.14,24.5,6.97,0.77,19.81,58.17,22.0
2025-10-23 16:46:48,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,24.0,6.97,0.77,19.72,58.39,22.0
2025-10-23 17:16:39,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,23.25,6.97,0.77,19.16,60.02,22.0
2025-10-23 17:46:30,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",1.14,22.0,6.96,0.77,18.4,60.97,22.0
2025-10-23 18:16:20,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,20.75,6.96,0.77,17.91,62.91,22.0
2025-10-23 18:46:10,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,19.75,6.95,0.77,17.68,64.4,22.0
2025-10-23 19:16:02,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,19.0,6.95,0.77,17.11,65.02,22.0
2025-10-23 19:45:53,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,18.0,6.95,0.77,16.49,67.39,22.0
2025-10-23 20:15:44,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,17.25,6.93,0.77,15.98,68.79,22.0
2025-10-23 20:45:35,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,16.5,6.93,0.77,15.41,71.29,22.0
2025-10-23 21:15:27,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,16.0,6.93,0.77,15.02,71.33,22.0
2025-10-23 21:47:41,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,15.5,6.93,0.77,14.7,73.35,21.0
2025-10-23 22:17:33,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,15.0,6.91,0.77,14.35,75.34,21.0
