fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-25 09:47:08,2025-11-25T09:47:51,Sin sesión,,,,13,AGUA-01,,0.0,25.0,12.39,0.0,0.0,22.0
2025-11-25 10:49:53,2025-11-25T10:50:36,Sin sesión,,,,13,AGUA-01,,0.0,29.25,12.4,0.0,0.0,27.0
2025-11-25 11:52:44,2025-11-25T11:53:28,Sin sesión,,,,13,AGUA-01,,0.0,31.75,12.42,0.0,0.0,25.0
2025-11-25 12:55:11,2025-11-25T12:55:55,Sin sesión,,,,13,AGUA-01,,0.0,29.5,12.41,0.0,0.0,23.0
2025-11-25 13:57:43,2025-11-25T14:07:37,Sin sesión,,,,13,AGUA-01,,0.0,29.75,12.42,0.0,0.0,25.0
2025-11-25 15:00:31,2025-11-25T15:01:14,Sin sesión,,,,13,AGUA-01,,0.0,31.0,12.44,0.0,0.0,25.0
2025-11-25 16:03:06,2025-11-25T16:03:50,Sin sesión,,,,13,AGUA-01,,0.0,31.25,12.43,0.0,0.0,26.0
2025-11-25 17:05:45,2025-11-25T17:06:29,Sin sesión,,,,13,AGUA-01,,0.0,32.25,12.44,0.0,0.0,30.0
2026-09-10 22:10:23,2025-11-03T16:42:43,Sin sesión,,,,13,AGUA-01,,21.75,31.25,12.15,1888.0,8.54,25.0
2040-01-10 22:10:23,2025-10-26T21:13:35,Sin sesión,,,,13,AGUA-01,,18.94,27.75,12.25,1646.0,9.27,26.0
2040-01-10 22:10:23,2025-11-04T16:01:23,Sin sesión,,,,13,AGUA-01,,23.62,34.5,12.21,1702.0,9.04,25.0
2040-01-10 23:11:12,2025-11-04T17:02:12,Sin sesión,,,,13,AGUA-01,,23.06,35.0,12.25,1817.0,9.27,26.0
2042-01-07 21:10:35,2025-10-27T01:16:30,Sin sesión,,,,13,AGUA-01,,18.31,22.5,12.18,1660.0,8.69,27.0
2042-01-07 22:10:35,2025-10-31T20:48:32,Sin sesión,,,,13,AGUA-01,,0.0,22.0,12.16,0.0,0.0,22.0
2042-01-07 22:21:35,2025-10-31T21:49:15,Sin sesión,,,,13,AGUA-01,,0.0,21.25,12.26,0.0,0.0,24.0
2046-01-08 21:10:40,2025-10-28T09:43:04,Sin sesión,,,,13,AGUA-01,,17.81,31.75,12.2,1667.0,8.62,23.0
2046-09-10 22:10:23,2025-10-31T19:47:49,Sin sesión,,,,13,AGUA-01,,19.88,23.25,12.24,1830.0,9.0,24.0
