fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (uS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-12-04T00:53:59,2025-12-04 00:54:55,Sin sesión,,,,13,AGUA-02,,22.88,24.25,12.22,720.3,8.0,19.0
2025-12-04T01:54:56,2025-12-04 01:55:47,Sin sesión,,,,13,AGUA-02,,22.88,23.0,12.21,719.6,7.99,20.0
2025-12-04T02:55:47,2025-12-04 02:56:39,Sin sesión,,,,13,AGUA-02,,23.0,22.25,12.18,720.7,7.95,21.0
2025-12-04T03:56:41,2025-12-04 03:57:44,Sin sesión,,,,13,AGUA-02,,22.31,21.5,12.18,722.2,7.9,21.0
2025-12-04T04:57:51,2025-12-04 04:59:14,Sin sesión,,,,13,AGUA-02,,21.56,21.0,12.17,723.7,7.89,11.0
2025-12-04T05:59:21,2025-12-04 06:00:16,Sin sesión,,,,13,AGUA-02,,21.5,21.0,12.18,727.6,7.86,9.0
2025-12-04T07:00:34,2025-12-04 07:01:19,Sin sesión,,,,13,AGUA-02,,20.94,20.75,12.17,731.1,7.88,19.0
2025-12-04T08:01:25,2025-12-04 08:02:08,Sin sesión,,,,13,AGUA-02,,21.0,21.0,12.19,734.4,7.9,22.0
2025-12-04T09:02:17,2025-12-04 09:03:09,Sin sesión,,,,13,AGUA-02,,21.06,22.5,12.22,737.0,7.94,20.0
2025-12-04T10:03:21,2025-12-04 10:04:04,Sin sesión,,,,13,AGUA-02,,21.19,24.0,12.22,740.3,7.88,19.0
2025-12-04T11:04:17,2025-12-04 11:05:39,Sin sesión,,,,13,AGUA-02,,21.62,26.25,12.24,741.3,7.91,8.0
2025-12-04T12:05:55,2025-12-04 13:08:59,Sin sesión,,,,13,AGUA-02,,21.75,29.0,12.24,742.2,7.73,6.0
2025-12-04T14:09:37,2025-12-04 14:10:39,Sin sesión,,,,13,AGUA-02,,24.38,34.0,12.25,745.8,7.32,20.0
2025-12-04T15:10:58,2025-12-04 15:11:50,Sin sesión,,,,13,AGUA-02,,25.19,37.75,12.27,739.0,7.4,19.0
2025-12-04T16:12:00,2025-12-04 16:12:52,Sin sesión,,,,13,AGUA-02,,25.44,37.0,12.28,716.8,7.7,18.0
2025-12-04T17:12:57,2025-12-04 17:13:49,Sin sesión,,,,13,AGUA-02,,26.06,37.5,12.28,702.1,7.84,20.0
