fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,A01NYUB [Distancia (m)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],LIQ-136 [Profundidad (m)],SHT40 [Grados celcius (°C)],SHT40 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-11 10:16:54,2025-11-11T21:14:58,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,21.25,8.05,0.44,14.48,76.39,31.0
2025-11-11 10:46:45,2025-11-11T21:15:02,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,21.0,8.05,0.44,15.43,68.22,31.0
2025-11-11 11:16:39,2025-11-11T21:15:07,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,21.5,8.05,0.44,16.72,66.36,31.0
2025-11-11 11:46:34,2025-11-11T21:15:11,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,22.5,8.05,0.44,18.0,61.2,31.0
2025-11-11 12:16:29,2025-11-11T21:15:15,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,24.25,8.05,0.44,18.64,56.15,31.0
2025-11-11 12:46:22,2025-11-11T21:15:20,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,24.25,8.05,0.44,19.28,57.06,31.0
2025-11-11 13:16:17,2025-11-11T21:15:24,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,25.25,8.05,0.44,20.14,53.08,31.0
2025-11-11 13:46:12,2025-11-11T21:15:29,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,26.25,8.05,0.44,20.95,50.11,31.0
2025-11-11 14:16:07,2025-11-11T21:15:33,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,27.5,8.05,0.44,22.11,43.88,31.0
2025-11-11 14:46:02,2025-11-11T21:15:37,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,28.5,8.05,0.44,22.67,47.89,31.0
2025-11-11 15:15:55,2025-11-11T21:15:41,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,29.0,8.05,0.44,23.17,46.96,31.0
2025-11-11 15:45:50,2025-11-11T21:15:46,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,30.25,8.05,0.44,23.62,46.91,31.0
2025-11-11 16:15:47,2025-11-11T21:15:50,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,33.0,8.05,0.44,24.27,45.21,31.0
2025-11-11 16:45:42,2025-11-11T21:15:54,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,33.75,8.05,0.44,24.39,40.95,31.0
2025-11-11 17:15:34,2025-11-11T21:15:59,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,32.75,8.05,0.44,24.3,39.94,31.0
2025-11-11 17:45:28,2025-11-11T21:16:03,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,33.75,8.05,0.44,24.78,38.0,31.0
2025-11-11 18:15:23,2025-11-11T21:16:07,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,34.0,8.05,0.44,24.52,36.26,31.0
2025-11-11 18:45:16,2025-11-11T21:16:12,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.05,33.75,8.05,0.44,24.4,40.08,31.0
2025-11-11 19:15:10,2025-11-11T21:16:16,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.05,34.25,8.05,0.44,24.52,35.28,31.0
2025-11-11 19:45:02,2025-11-11T21:16:20,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,32.5,8.05,0.44,22.85,47.34,31.0
2025-11-11 20:14:44,2025-11-11T21:16:25,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,26.0,8.05,0.44,21.73,46.75,31.0
2025-11-11 20:44:30,2025-11-11T21:16:29,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,22.75,8.05,0.44,20.42,48.92,31.0
2025-11-11 21:14:18,2025-11-11T21:16:33,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,20.5,8.05,0.44,19.78,49.81,31.0
2025-11-11 21:46:15,2025-11-12T09:14:25,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,19.5,8.05,0.44,18.66,55.05,29.0
2025-11-11 22:16:07,2025-11-12T09:14:30,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,18.5,8.05,0.44,17.84,59.22,29.0
2025-11-11 22:46:00,2025-11-12T09:14:34,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,17.5,8.05,0.44,17.5,62.26,29.0
2025-11-11 23:15:51,2025-11-12T09:14:39,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,16.5,8.05,0.44,15.63,71.99,29.0
2025-11-11 23:45:42,2025-11-12T09:14:43,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,15.5,8.05,0.44,14.49,76.12,29.0
2025-11-12 00:15:32,2025-11-12T09:14:48,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,14.0,8.05,0.44,13.15,78.29,29.0
2025-11-12 00:45:23,2025-11-12T09:14:52,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,13.25,8.05,0.44,13.19,77.69,29.0
2025-11-12 01:15:16,2025-11-12T09:14:57,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,12.5,8.05,0.44,12.29,82.41,29.0
2025-11-12 01:45:09,2025-11-12T09:15:01,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,12.25,8.05,0.44,11.57,83.77,29.0
2025-11-12 02:14:59,2025-11-12T09:15:05,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.04,11.5,8.05,0.44,11.8,85.31,29.0
